Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
78,Jared Butler,SG,23,WAS,19,0,7.4,1.6,2.8,.566,0.5,1.3,.417,1.1,1.5,.690,.660,0.6,0.8,.800,0.0,0.6,0.6,1.7,0.4,0.1,0.6,0.8,4.3
79,Jimmy Butler,PF,34,MIA,38,38,33.7,6.7,13.4,.502,1.0,2.2,.447,5.7,11.1,.513,.539,7.0,8.2,.861,2.0,3.5,5.6,4.6,1.4,0.3,1.7,1.1,21.4
80,Jamal Cain,PF,24,MIA,16,1,14.1,1.8,4.3,.420,0.5,1.6,.308,1.3,2.7,.488,.478,1.1,1.4,.783,0.8,1.2,2.0,0.3,0.6,0.3,0.3,1.1,5.3
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Kentavious Caldwell-Pope,SG,30,DEN,52,52,31.6,3.4,7.8,.436,1.4,3.8,.372,2.0,4.0,.495,.526,1.7,1.8,.915,0.4,1.9,2.4,2.3,1.3,0.4,1.0,1.9,9.8
82,Toumani Camara,PF,23,POR,54,34,23.6,2.6,6.0,.436,0.7,2.4,.305,1.9,3.6,.523,.497,1.0,1.4,.724,1.8,2.9,4.8,1.0,1.0,0.5,1.2,2.5,7.0
83,Clint Capela,C,29,ATL,48,48,25.6,4.8,8.3,.571,0.0,0.0,,4.8,8.3,.571,.571,1.8,2.8,.652,4.8,5.7,10.5,1.0,0.6,1.5,0.9,2.4,11.3
84,Jevon Carter,PG,28,CHI,53,0,13.6,1.9,5.2,.372,1.1,3.4,.335,0.8,1.8,.439,.480,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.2,0.5,1.1,5.1
85,Wendell Carter Jr.,C,24,ORL,31,25,26.0,4.2,7.7,.542,1.2,2.8,.420,3.0,4.8,.613,.620,1.9,2.6,.728,1.7,4.7,6.5,1.6,0.5,0.5,1.2,2.4,11.4
86,D.J. Carton,SG,23,TOR,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
